Institución	Total de Artículos	URL
Universidad de Chile	53489	https://dataciencia.anid.cl/institution/3
Pontificia Universidad Católica de Chile	47379	https://dataciencia.anid.cl/institution/4
Universidad de La Frontera	10421	https://dataciencia.anid.cl/institution/8
Universidad Austral de Chile	12089	https://dataciencia.anid.cl/institution/9
Universidad de Valparaíso	8454	https://dataciencia.anid.cl/institution/13
Universidad de Concepción	22840	https://dataciencia.anid.cl/institution/16
Universidad Metropolitana de Ciencias de la Educación	1194	https://dataciencia.anid.cl/institution/18
Universidad de Santiago de Chile	13500	https://dataciencia.anid.cl/institution/39
Universidad de Talca	7974	https://dataciencia.anid.cl/institution/41
Pontificia Universidad Católica de Valparaíso	12449	https://dataciencia.anid.cl/institution/43
Universidad Católica del Norte	7944	https://dataciencia.anid.cl/institution/44
Universidad de Los Lagos	2918	https://dataciencia.anid.cl/institution/68
Universidad de Magallanes	2313	https://dataciencia.anid.cl/institution/83
Universidad de Antofagasta	3931	https://dataciencia.anid.cl/institution/85
Universidad Católica de Temuco	3918	https://dataciencia.anid.cl/institution/109
Universidad Católica de la Santísima Concepción	3986	https://dataciencia.anid.cl/institution/129
Universidad del Bío Bío	5350	https://dataciencia.anid.cl/institution/170
Universidad de Los Andes, Chile	5213	https://dataciencia.anid.cl/institution/179
Universidad de Tarapacá	6124	https://dataciencia.anid.cl/institution/196
Universidad Tecnológica Metropolitana	1497	https://dataciencia.anid.cl/institution/249
Universidad Mayor	3675	https://dataciencia.anid.cl/institution/250
Universidad de la Serena	3127	https://dataciencia.anid.cl/institution/269
Universidad Santo Tomás	2923	https://dataciencia.anid.cl/institution/271
Universidad Técnica Federico Santa María	10450	https://dataciencia.anid.cl/institution/310
Univ Pedro Valdivia	50	https://dataciencia.anid.cl/institution/1187
Universidad del Desarrollo	5649	https://dataciencia.anid.cl/institution/1192
Universidad de Atacama	1933	https://dataciencia.anid.cl/institution/1228
Universidad Adolfo Ibáñez	5069	https://dataciencia.anid.cl/institution/1246
Universidad Nacional Andrés Bello	12738	https://dataciencia.anid.cl/institution/1269
Universidad Autónoma de Chile	6920	https://dataciencia.anid.cl/institution/1277
Universidad Diego Portales	7307	https://dataciencia.anid.cl/institution/1278
Universidad de Playa Ancha	2079	https://dataciencia.anid.cl/institution/1313
Univ Gabriela Mistral	104	https://dataciencia.anid.cl/institution/1314
Universidad Católica del Maule	4508	https://dataciencia.anid.cl/institution/1332
Universidad de O`Higgins	809	https://dataciencia.anid.cl/institution/1376
Universidad Alberto Hurtado	2650	https://dataciencia.anid.cl/institution/1385
Universidad Bernardo O'Higgins	2307	https://dataciencia.anid.cl/institution/1396
Universidad San Sebastián	4201	https://dataciencia.anid.cl/institution/1689
Universidad Finis Terrae	1645	https://dataciencia.anid.cl/institution/1709
Universidad Arturo Prat	1951	https://dataciencia.anid.cl/institution/1768
Universidad Internacional SEK	190	https://dataciencia.anid.cl/institution/2049
Universidad Tecnológica de Chile	296	https://dataciencia.anid.cl/institution/2062
Universidad Central de Chile	1541	https://dataciencia.anid.cl/institution/2096
Universidad de Aysen	222	https://dataciencia.anid.cl/institution/2343
Universidad de Viña del Mar	615	https://dataciencia.anid.cl/institution/2387
Universidad de Las Américas, Chile	1377	https://dataciencia.anid.cl/institution/3062
Universidad Academia de Humanismo Cristiano	598	https://dataciencia.anid.cl/institution/3203
Universidad del Mar	52	https://dataciencia.anid.cl/institution/3708
Universidad La República	13	https://dataciencia.anid.cl/institution/4539
Universidad del Pacífico	11	https://dataciencia.anid.cl/institution/5563
Universidad Chileno-Británica de Cultura	17	https://dataciencia.anid.cl/institution/6082
Universidad Adventista de Chile	460	https://dataciencia.anid.cl/institution/6490
Universidad Iberoamericana de Ciencias y Tecnología	37	https://dataciencia.anid.cl/institution/10827
Univ Ciencias Educ UNIACC	1	https://dataciencia.anid.cl/institution/24847
Universidad de Aconcagua	19	https://dataciencia.anid.cl/institution/28746
Universidad Católica Silva Henríquez	848	https://dataciencia.anid.cl/institution/50361
Universidad Bolivariana	43	https://dataciencia.anid.cl/institution/54755
Universidad Nacional de Las Artes y Ciencias Sociales (ARCIS)	3	https://dataciencia.anid.cl/institution/72881
