ID,Total de Artículos,Afiliación
6810980,45,Pontificia Universidad Católica De Valparaíso
6810979,40,Pontificia Universidad Católica De Valparaíso
646013,31,Pontificia Universidad Católica De Valparaíso
7027516,29,Pontificia Universidad Católica De Valparaíso
135023,27,Universidad De Valparaíso
5147517,26,Pontificia Universidad Católica De Valparaíso
5138833,24,Pontificia Universidad Católica De Valparaíso
169569,23,Pontificia Universidad Católica De Valparaíso
884869,23,Pontificia Universidad Católica De Valparaíso
5951861,22,Pontificia Universidad Católica De Valparaíso
2635622,20,Pontificia Universidad Católica De Valparaíso
1426874,19,Universidad De Valparaíso
5782861,18,Pontificia Universidad Católica De Valparaíso
454657,17,Pontificia Universidad Católica De Valparaíso
1476788,17,Pontificia Universidad Católica De Valparaíso
865504,16,Pontificia Universidad Católica De Valparaíso
1963454,16,Pontificia Universidad Católica De Valparaíso
6823657,16,Pontificia Universidad Católica De Valparaíso
135022,15,Universidad De Valparaíso
561252,15,Universidad De Valparaíso
1921758,15,Universidad De Valparaíso
162954,13,Universidad Adolfo Ibáñez
731892,13,Universidad De Valparaíso
122598,12,Universidad De Playa Ancha
1231041,12,Universidad De Valparaíso
1478534,12,Pontificia Universidad Católica De Valparaíso
2348295,12,Pontificia Universidad Católica De Valparaíso
321618,11,Pontificia Universidad Católica De Valparaíso
1347211,11,Pontificia Universidad Católica De Valparaíso
6745910,11,Universidad Técnica Federico Santa María
720209,10,Pontificia Universidad Católica De Valparaíso
1160414,10,Pontificia Universidad Católica De Valparaíso
2339019,10,Pontificia Universidad Católica De Valparaíso
94634,9,"Universidad De Los Andes, Chile"
243524,9,Pontificia Universidad Católica De Valparaíso
1348419,9,Pontificia Universidad Católica De Valparaíso
1423408,9,Pontificia Universidad Católica De Valparaíso
3977404,9,Universidad De Concepción
6533397,9,Pontificia Universidad Católica De Valparaíso
1177003,8,Universidad De Valparaíso
2415769,8,Universidad Técnica Federico Santa María
245525,7,Pontificia Universidad Católica De Valparaíso
527271,7,Universidad De Valparaíso
1156648,7,Pontificia Universidad Católica De Valparaíso
2626552,7,Pontificia Universidad Católica De Valparaíso
3323131,7,Pontificia Universidad Católica De Valparaíso
4763436,7,Pontificia Universidad Católica De Valparaíso
4980386,7,Pontificia Universidad Católica De Valparaíso
727534,6,Pontificia Universidad Católica De Valparaíso
3541709,6,Universidad Adolfo Ibáñez
5069468,6,Universidad De Valparaíso
46586,5,Universidad Adolfo Ibáñez
192652,5,Pontificia Universidad Católica De Valparaíso
1138737,5,Pontificia Universidad Católica De Valparaíso
1650104,5,Universidad Técnica Federico Santa María
2527599,5,Pontificia Universidad Católica De Valparaíso
4060297,5,Universidad De Playa Ancha
6065925,5,Pontificia Universidad Católica De Valparaíso
6822279,5,Universidad Técnica Federico Santa María
112464,4,Pontificia Universidad Católica De Valparaíso
112564,4,Pontificia Universidad Católica De Valparaíso
813793,4,Universidad De Valparaíso
1055359,4,Pontificia Universidad Católica De Valparaíso
1327330,4,Universidad Nacional Andrés Bello
1332785,4,Universidad De Playa Ancha
2316640,4,Pontificia Universidad Católica De Valparaíso
2849287,4,Universidad De Valparaíso
3530634,4,Pontificia Universidad Católica De Valparaíso
3636359,4,Universidad De Valparaíso
4690027,4,Universidad De Valparaíso
5494333,4,Pontificia Universidad Católica De Valparaíso
5668550,4,Pontificia Universidad Católica De Valparaíso
6535184,4,Universidad De Valparaíso
65746,3,Universidad De Playa Ancha
110634,3,Universidad De Atacama
176596,3,Pontificia Universidad Católica De Valparaíso
193063,3,Universidad De Chile
214147,3,Pontificia Universidad Católica De Valparaíso
447465,3,Pontificia Universidad Católica De Valparaíso
572470,3,Universidad De Valparaíso
819343,3,Universidad Adolfo Ibáñez
961739,3,Universidad Católica Del Maule
1168634,3,Universidad De Valparaíso
1207134,3,Pontificia Universidad Católica De Chile
1332741,3,Pontificia Universidad Católica De Valparaíso
1813175,3,Pontificia Universidad Católica De Valparaíso
1970687,3,Pontificia Universidad Católica De Chile
2106341,3,Pontificia Universidad Católica De Valparaíso
2725300,3,Pontificia Universidad Católica De Valparaíso
3023855,3,Pontificia Universidad Católica De Valparaíso
3514756,3,Pontificia Universidad Católica De Valparaíso
3516946,3,Universidad De Valparaíso
3680014,3,Pontificia Universidad Católica De Valparaíso
3835181,3,Universidad De Playa Ancha
3963349,3,Universidad De Valparaíso
4724323,3,Pontificia Universidad Católica De Valparaíso
4836654,3,Pontificia Universidad Católica De Valparaíso
5026444,3,Universidad De Concepción
5163220,3,Pontificia Universidad Católica De Valparaíso
5788014,3,Universidad De Valparaíso
6435885,3,Pontificia Universidad Católica De Valparaíso
6549737,3,Pontificia Universidad Católica De Valparaíso
6657879,3,Pontificia Universidad Católica De Valparaíso
6720151,3,Pontificia Universidad Católica De Valparaíso
46872,2,Pontificia Universidad Católica De Valparaíso
113864,2,Pontificia Universidad Católica De Valparaíso
163591,2,Pontificia Universidad Católica De Valparaíso
166186,2,Universidad De Playa Ancha
214146,2,Pontificia Universidad Católica De Valparaíso
354284,2,Universidad Técnica Federico Santa María
421846,2,Pontificia Universidad Católica De Valparaíso
501935,2,Universidad De Playa Ancha
507381,2,Universidad Técnica Federico Santa María
569072,2,Pontificia Universidad Católica De Valparaíso
672646,2,Universidad Adolfo Ibáñez
700649,2,Pontificia Universidad Católica De Valparaíso
719835,2,Universidad De Valparaíso
827792,2,Universidad De Valparaíso
884910,2,Universidad Austral De Chile
894349,2,Pontificia Universidad Católica De Valparaíso
911958,2,Pontificia Universidad Católica De Valparaíso
953163,2,Pontificia Universidad Católica De Valparaíso
1226945,2,Universidad Técnica Federico Santa María
1248165,2,Pontificia Universidad Católica De Valparaíso
1327809,2,Pontificia Universidad Católica De Valparaíso
1365153,2,Pontificia Universidad Católica De Valparaíso
1560792,2,Pontificia Universidad Católica De Valparaíso
1822727,2,Pontificia Universidad Católica De Valparaíso
2001099,2,Pontificia Universidad Católica De Valparaíso
2108220,2,Universidad De Valparaíso
2358015,2,Universidad De Valparaíso
3170824,2,Pontificia Universidad Católica De Valparaíso
3269695,2,Pontificia Universidad Católica De Valparaíso
3323278,2,Pontificia Universidad Católica De Valparaíso
3336312,2,Pontificia Universidad Católica De Valparaíso
3465378,2,Pontificia Universidad Católica De Valparaíso
3536487,2,Pontificia Universidad Católica De Valparaíso
3834659,2,Universidad De Playa Ancha
3853237,2,Pontificia Universidad Católica De Valparaíso
3853238,2,Pontificia Universidad Católica De Valparaíso
3982265,2,Universidad De Playa Ancha
4685702,2,Universidad De Valparaíso
4696722,2,Pontificia Universidad Católica De Valparaíso
4716414,2,Universidad De Valparaíso
4745289,2,Universidad De Playa Ancha
4942852,2,Pontificia Universidad Católica De Valparaíso
4959889,2,Pontificia Universidad Católica De Valparaíso
5078072,2,Pontificia Universidad Católica De Valparaíso
5217775,2,Pontificia Universidad Católica De Valparaíso
5217777,2,Universidad De Valparaíso
5217779,2,Universidad De Valparaíso
5306909,2,Pontificia Universidad Católica De Valparaíso
