Id Institución,id_profesor,name,surname,gender,articles_count
3,6862022,Sergio,Lavandero,Hombre,320
3,865919,GONZALO,NAVARRO-BADINO,Hombre,311
3,2385088,RICARDO ELIAS,UAUY-DAGACH-IMBARACH,Hombre,240
3,3527112,CLAUDIO ANDRES,HETZ-FLORES,Hombre,240
3,161722,Jose,Merigo,Hombre,236
3,291328,Marcel Gabriel,Clerc,Hombre,217
3,67552,LEONARDO JAIME,BRONFMAN-AGUILO,Hombre,216
3,717500,Camila,Corvalan,Mujer,208
3,410495,Jaime,Romero,Hombre,190
3,2290083,JAMES STEWART,JENKINS,Hombre,190
3,3454658,SERGIO FABIAN,OCHOA-DELORENZI,Hombre,188
3,6578800,Andrew Fg,Quest,Hombre,182
3,6223070,Rodrigo,Valenzuela B,Hombre,179
3,2384884,RAMIRO OSCIEL,BUSTAMANTE-ARAYA,Hombre,178
3,6346359,Ricardo C.,Muñoz,Hombre,174
3,353337,Roberto,Ramirez,Hombre,172
3,3580849,M. Veronica,Mericq G,Mujer,170
3,6842516,Ximena,Wortsman,Mujer,169
3,447210,Fernando,Lolas-Stepke,Hombre,166
3,951993,JORGE ESTEBAN,DIAZ-FUENTES,Hombre,166
3,1208928,MARCELO JAVIER,KOGAN-BOCIAN,Hombre,158
3,207866,CLAUDIO ANDRES,PEREZ-FLORES,Hombre,148
3,612632,Christian,Gonzalez-Billault,Hombre,148
3,1994574,MARIO ANDRÉS,HAMUY-WACKENHUT,Hombre,147
3,3538409,ATTILA,CSENDES-JUHASZ,Hombre,147
3,426079,Rodrigo,Torres-Castro,Hombre,146
3,631275,MARCOS EDUARDO,ORCHARD-CONCHA,Hombre,145
3,3518177,CECILIA,ALBALA-BREVIS,Mujer,145
3,5755146,Mario,Chiong,Hombre,144
3,573285,Juan Alejandro,Valdivia,Hombre,142
3,3558033,JAVIER,RUIZ DEL SOLAR-SAN MARTIN,Hombre,142
3,4811206,Rene D.,Garreaud,Hombre,139
3,4760,R,BURROWS,Mujer,137
3,3454894,ETHEL,CODNER-DUJOVNE,Mujer,137
3,192697,Claudio,Olea Azar,Hombre,135
3,6473039,Nelson,Baloian,Hombre,135
3,4079814,José A.,Pino,Hombre,134
3,5242943,Xavier M.,Emery,Hombre,134
3,6885759,Cesar A.,Azurdia-Meza,Hombre,134
3,1177127,Lydia,Lera,Mujer,133
3,1241278,Gabriel C. H.,Cavada Chacon,Hombre,131
3,6527342,Elie,Poulin,Hombre,131
3,3353,A,SLACHEVSKY,Mujer,130
3,1323861,MANUEL ABELARDO,PINTO-JIMENEZ,Hombre,129
3,1224034,MARTIN HERBERT,REICH-MORALES,Hombre,128
3,4820254,Juan Pablo,Torres-Torreti,Hombre,128
3,591545,MAURICIO ALFREDO,GONZALEZ-AGUEERO,Hombre,127
3,333925,Pablo,Fuentealba,Hombre,126
3,2289726,M.,Ouessar,Mujer,126
3,5973615,Mariana,Rojas,Mujer,126
3,4370,D,MORATA,Hombre,125
3,3155921,CARMEN AURORA,ROMERO-PATINO,Mujer,125
3,3680443,Francisco,Perez-Bravo,Hombre,125
3,3441643,ERIC PIERRE,TANTER,Hombre,124
3,269355,Simon,Casassu,Hombre,123
3,1114444,J. M.,Yanez,Hombre,120
3,149495,Andreas,Rosenkranz,Hombre,118
3,6728220,Juan D.,Maya,Hombre,117
3,1936598,PAULINA MONSERRAT,BUSTOS-PENA,Mujer,116
3,2684550,GERMAN FRANCISCO,INIGUEZ-VILA,Hombre,116
3,3498689,ENRIQUE ZACARIAS,JAIMOVICH-PEREZ,Hombre,116
3,646632,LORENA DEL PILAR,GARCIA-NANNIG,Mujer,114
3,1161024,SERGIO MARCELO,RUIZ-POBLETE,Hombre,114
3,415177,DORIS ANDREA,SAEZ-HUEICHAPAN,Mujer,113
3,1112020,A.,Bergel,Hombre,113
3,1317153,RODRIGO ALFONSO,VASQUEZ-SALFATE,Hombre,113
3,1407493,Ulrike,Kemmerling,Mujer,113
3,154899,Emilio A.,Herrera,Hombre,112
3,232265,Jose,Correa,Hombre,112
3,5101891,Fernando,Cassorla,Hombre,112
3,2703575,PABLO,SABAT-KIRKWOOD,Hombre,111
3,3549370,RAMON,RODRIGO-SALINAS,Hombre,111
3,126915,Herman,Silva,Hombre,110
3,183142,GUILLERMO ALBERTO,BLANC-MENDIBERRI,Hombre,110
3,425860,M.,Reyes,Mujer,110
3,2290586,MONICA SOLANGE,RUBIO-LOPEZ,Mujer,110
3,75,M,ORyan,Hombre,109
3,2715295,GUIDO ALEJANDRO,GARAY BRIGNARDELLO,Hombre,109
3,3751587,Margarita,Vega,Mujer,109
3,6260871,Luis A.,Videla,Hombre,109
3,3567140,PAULINA,LIRA-TEILLERY,Mujer,108
3,3243259,JUAN ALFONSO,ASENJO-DE LEUZE,Hombre,107
3,5676835,Rene,Mendez,Hombre,107
3,6481543,Rodrigo,Palma-Behnke,Hombre,107
3,631147,Laura,Perez,Mujer,106
3,3299436,CLAUDIO ANTONIO,MUNOZ-CERON,Hombre,106
3,811178,Carlos,Cruz-Montecinos,Hombre,105
3,6155586,Pablo A.,Estevez,Hombre,104
3,30360,G.,Eduardo Fernandez,Hombre,103
3,288285,Alejandro,Maass,Hombre,103
3,3509304,FERNANDO,BARRA-PANTOJA,Hombre,103
3,118070,Jose,Cardemil,Hombre,102
3,1307029,C.,Cardenas,Hombre,102
3,8502,F,PIZARRO,Hombre,101
3,1476969,MAURICIO MARIA,CANALS-LAMBARRI,Hombre,100
3,2981063,REGIS ANDRE,CARTIER-UGARTE,Hombre,100
3,612547,Roberto,Vidal,Hombre,99
3,3327984,ROLANDO MARCELO,VERNAL-ASTUDILLO,Hombre,99
3,5347398,Rodrigo A.,Contreras,Hombre,99
3,320607,Aidan,Hogan,Hombre,98
3,2151303,GUSTAVO NYLES,ZURITA-ALARCON,Hombre,98
3,397,JA,Simonetti,Hombre,97
3,126403,M.,Duarte,Hombre,97
3,1857003,CECILIA VERONICA,TAPIA-VILLANUEVA,Mujer,97
3,5702434,Paulina,Morales,Mujer,97
3,3589,M,OLIVARES,Hombre,96
3,2530740,MARCO ANTONIO,MENDEZ-TORRES,Hombre,96
3,3076242,ITALO,BRAGHETTO-MIRANDA,Hombre,96
3,257877,FERNANDO ALFREDO,VALENZUELA-AHUMADA,Hombre,94
3,3323175,MARIA TERESA,GARLAND-RODRIGUEZ,Mujer,94
3,1248171,Claudia P.,Cortes,Mujer,93
3,3569226,EVGENIA,SPODINE-SPIRIDONOVA,Mujer,92
3,72451,HUMBERTO CRISTIAN,PALZA-CORDERO,Hombre,91
3,3541143,Guillermo,Bannura C,Hombre,91
3,4857713,Mario,Molina,Hombre,91
3,5208182,Patricio,Lopez Mendoza,Hombre,91
3,6257878,R. A.,Lopez,Hombre,91
3,605592,Maria-Luisa,Garmendia,Mujer,90
3,930898,HERMANN AUGUST,NIEMEYER-MARICH,Hombre,90
3,1239991,Juan D.,Velasquez,Hombre,90
3,3035522,LISETTE,LEYTON-CAMPOS,Mujer,90
3,243536,JAVIER OCTAVIO,MORALES-MONTECINOS,Hombre,89
3,1112336,Carlos,Castillo,Hombre,89
3,156805,Enrique,Lopez-Droguett,Hombre,88
3,186945,Benjamin,Bustos,Hombre,88
3,453262,Myriam,Benisty,Mujer,88
3,1678352,MARCELA TERESA,HERNANDEZ-GARCIA,Mujer,88
3,2017874,JOSE ANTONIO,ROGAN-CASTILLO,Hombre,88
3,2257296,FELIPE JOSE,VALENCIA-DIAZ,Hombre,88
3,6215886,Marcela A.,Hermoso,Mujer,88
3,6480808,Hector C.,Ramirez,Hombre,88
3,113007,P.,Correa-Burrows,Mujer,87
3,1960249,DAVID ENRIQUE,VELIZ-BAEZA,Hombre,87
3,3418929,MARCOS ABRAHAM,KIWI-KRAUSKOPF,Hombre,87
3,5414006,Jaime,Poniachik,Hombre,87
3,502184,FRANCISCO JAVIER,GUTIERREZ-FERRER,Hombre,86
3,2164994,MARIO GUILLERMO,HERRERA-MARSCHITZ,Hombre,86
3,2086265,HERNAN ELIAS,SPEISKY-COSOY,Hombre,85
3,315771,CARLOS ALBERTO,ARECHE-MEDINA,Hombre,84
3,1478221,SEBASTIAN VICTOR CLAUDIO,LOPEZ-MORALES,Hombre,84
3,1443993,Rodrigo,Soto,Hombre,83
3,4984495,Aldo,Solari,Hombre,83
3,470,M,Gotteland,Hombre,82
3,71819,Francisco J.,Gracia,Hombre,82
3,1213380,Steffen,Hartel,Hombre,82
3,2401059,PABLO,BARCELO-BAEZA,Hombre,82
3,2564642,BRUCE KENNEDY,CASSELS-NIVEN,Hombre,82
3,2699589,Claudio,GUTIERREZ-DE LA FE,Hombre,82
3,113966,Raul,Mera-Adasme,Hombre,81
3,188138,"PATRICIO, I",MORENO,Hombre,81
3,1093413,ANA INES,PEREIRA-SCALABRINO,Mujer,81
3,3442212,Miguel,Allende,Hombre,81
3,4726704,Rodrigo,Gonzalez,Hombre,81
3,5541979,Felipe,Cardemil,Hombre,81
3,79529,Luis A.,Quinones,Hombre,80
3,2864197,RUBEN VLADIMIR,ALVARADO-MUNOZ,Hombre,80
3,3577516,Miguel A. Candia,Arredondo Olguin,Hombre,80
3,6259637,Francisco,Forster,Hombre,80
3,591417,Iris,Espinoza,Mujer,79
3,1223849,PATRICIO MICHEL,ROJO-RUBKE,Hombre,79
3,1225021,MARIO FELIPE,GUTIERREZ-REYES,Hombre,79
3,2304866,DENIS ROLAND,SAURE-VALENZUELA,Hombre,79
3,2761924,ANDRES,RIVERA-IBANEZ,Hombre,79
3,3228677,JUAN RAUL,QUIJADA-ABARCA,Hombre,79
3,3514807,DIEGO,MARDONES-PEREZ,Hombre,79
3,719910,Jorge F.,Silva,Hombre,78
3,1604050,Juan,Segura-Aguilar,Hombre,78
3,2069932,Alonso,Carrasco-Labra,Hombre,78
3,2930979,RODRIGO ARTURO,INFANTE-ESPINEIRA,Hombre,78
3,6433839,María Julieta,González,Mujer,78
3,1693,P,Richter,Hombre,77
3,194016,Alejandra,Fuentes-Garcia,Mujer,77
3,2708230,PAZ SOLEDAD,ROBERT-CANALES,Mujer,77
3,6820360,Stefan,Danilla,Hombre,77
3,415393,Javier A.,Bustos-Jimenez,Hombre,76
3,499882,MARIA GRACIELA,ROJAS-CASTILLO,Mujer,76
3,2789955,Alfonso,Valenzuela,Hombre,76
3,6138963,M.,Araya,Mujer,76
3,6482529,Rodrigo,Castillo,Hombre,76
3,300079,MARCOS IVAN,FLORES-CARRASCO,Hombre,75
3,332082,Maria Elena,De-Santolaya-P,Mujer,75
3,358158,MARIA ELENA,QUINTANILLA-GONZALEZ,Mujer,75
3,1774719,RODRIGO HERNAN,TRONCOSO-COTAL,Hombre,75
3,2654940,RODRIGO ANDRES,VICENCIO-POBLETE,Hombre,75
3,3530569,JULIANA AGOTA,KAIN-BERKOVIC,Mujer,75
3,5484737,Jaime,Sanchez,Hombre,75
3,179334,Gael,Chauvin,Hombre,74
3,5082858,S.,Eduardo Sepulveda,Mujer,74
3,5134336,V,Meruane,Mujer,74
3,663681,A.,Pena-Neira,Hombre,73
3,1477358,CESAR AUGUSTO,MENDEZ-MELGAR,Hombre,73
3,3559223,JAIME FLORENCIO,BRAVO-SILVA,Hombre,73
3,1108727,FRANCISCO RENAN,AGUAYO-GONZALEZ,Hombre,72
3,1417206,GONZALO ALEJANDRO,PALMA-QUILODRAN,Hombre,72
3,2578365,Federico,Luebert,Hombre,72
3,2849694,MARCELO ENRIQUE,BAEZA-CANCINO,Hombre,72
3,3567159,Flavio Andres,Salazar-Onfray,Hombre,72
3,7024352,Juan-Carlos,Prieto,Hombre,72
3,1306684,MARIA TERESA,RUIZ-GONZALEZ,Mujer,71
3,3373939,SERGIO RODOLFO,JARA-DIAZ,Hombre,71
3,3384141,MARCO TULIO,NUNEZ-GONZALEZ,Hombre,71
3,110485,Sandra,Cespedes,Mujer,70
3,136793,MAURICIO HUMBERTO,GALLEGUILLOS-CAAMANO,Hombre,70
3,1089773,GERMAN,GUNTHER-SAPUNAR,Hombre,70
3,2718856,IRMA DEL CARMEN,VILA-PINTO,Mujer,70
3,3149245,Guillermo,Diaz-Araya,Hombre,70
3,261,H,Amigo,Hombre,69
3,1027622,Romina,Brignardello-Petersen,Mujer,69
3,3435930,MARIA CECILIA,HIDALGO-TAPIA,Mujer,69
3,3531670,P. E.,Maldonado,Hombre,69
3,3767097,Gerardo,Weisstaub,Hombre,69
3,6010585,Jorge,Pérez,Hombre,69
3,812276,HECTOR RUBERLY,CONTRERAS-MUNOZ,Hombre,68
3,1023470,GUILLERMO ALFREDO,DURAN-MAGGIOLO,Hombre,68
3,1067123,BERNARDO ANTONIO,SAN MARTIN-REBOLLEDO,Hombre,68
3,2483151,JORGE ANTONIO,GAMONAL-ARAVENA,Hombre,68
3,3483425,MANUEL ADRIAN,DEL PINO-MANRESA,Hombre,68
3,3554601,MARCELO MARIANO,CAMPOS-VALLETTE,Hombre,68
3,6219483,Rodrigo,Nunez-Cortes,Hombre,68
3,680841,GONZALO JAVIER,GUTIERREZ-GALLARDO,Hombre,67
3,1759413,DIEGO RODRIGO,SALAZAR-SUTIL,Hombre,67
3,2039545,Daniel,Bunout Barnett,Hombre,67
3,2328244,VICTOR HUGO,MUNOZ-GALVEZ,Hombre,67
3,3499931,FRANCISCO ENRIQUE ISIDORO,HERVE-ALLAMAND,Hombre,67
3,3768610,Barbara A.,Andrews,Mujer,67
3,5797601,Franck,Quero,Hombre,67
3,732803,Paul,Vohringer,Hombre,66
3,884753,Jorge A.,Bevilacqua,Hombre,66
3,1789240,MARIA ROSA,BONO-MERINO,Mujer,66
3,3314922,HUGO ALBERTO,Sanchez-Reyes,Hombre,66
3,3336340,RICARDO BENJAMIN,MACCIONI-BARAHONA,Hombre,66
3,468896,Patricia Veronica,Lopez Diaz,Mujer,65
3,991145,R.,Moreno,Hombre,65
3,1407414,DARIO ALEXIS,ROJAS-GALLARDO,Hombre,65
3,2151023,PATRICIO DARIO,PEIRANO-CAMPOS,Hombre,65
3,2524537,Jorge,Rodriguez-Becerra,Hombre,65
3,111399,Eduardo,Contreras-Reyes,Hombre,64
3,865689,M.,Irarrazaval,Hombre,64
3,1050260,EMMA MARCELA,HERNANDEZ-RIOS,Mujer,64
3,2106027,VALENTINA,PARRA-ORTIZ,Mujer,64
3,2654720,Pamela,Rojas,Mujer,64
3,65401,R.,Armisen,Hombre,63
3,391557,Rodrigo,Ramos-Jiliberto,Hombre,63
3,472061,MARIA PIA DEL ROSARIO,DE-LA-MAZA-CAVE,Mujer,63
3,815420,ANTONIO CESAR,GALDAMEZ-SILVA,Hombre,63
3,1217458,MAURICIO DAVID,CERDA-VILLABLANCA,Hombre,63
3,3055899,LEANDRO JAVIER,CARRENO-MARQUEZ,Hombre,63
3,3763105,Nestor Becerra,Yoma,Hombre,63
3,6749963,Leonardo M.,Massone,Hombre,63
3,507764,P.,Kervella,Hombre,62
3,591668,Cristobal,Cuadrado,Hombre,62
3,720286,MARIA ELENA,CABRERA-CONTRERAS,Mujer,62
3,826720,Domenico,Sapone,Hombre,62
3,1581795,DANTE DANIEL,CACERES-LILLO,Hombre,62
3,1906595,ZOBEIRI MEHRDAD,YAZDANI-PEDRAM,Hombre,62
3,2257651,M.,Guzman,Hombre,62
3,3488263,SANDRA ADELA,HIRSCH-BIRN,Mujer,62
3,3559774,JUAN SEBASTIAN,GOMEZ-JERIA,Hombre,62
3,4882925,Cristian,Mattar,Hombre,62
3,70254,M.,Stein,Mujer,61
3,740181,MERCEDES NATALIA,LOPEZ-NITSCHE,Mujer,61
3,884704,Vinicius,Maracaja-Coutinho,Hombre,61
3,1985367,MARIA ORIANA,SALAZAR-GUERRERO,Mujer,61
3,2491637,MARCELA DEL PILAR,URZUA-ACEVEDO,Mujer,61
3,3072917,Romain,Robbes,Hombre,61
3,3587472,LIDIA TERESA,SIR-PETERMANN,Mujer,61
3,4984565,Andres,Weintraub,Hombre,61
3,5795719,Oscar,Neira,Hombre,61
3,7160717,C.,Frohmaier,Hombre,61
3,495789,Oscar,Seguel,Hombre,60
3,898727,LILIAN ELENA,JARA-SOSA,Mujer,60
3,1364579,MANUEL ANTONIO,CASANOVA-PINTO,Hombre,60
3,2297278,AUDREY ALEJANDRA,GREZ-VILLARROEL,Mujer,60
3,2703805,PABLO ANDRES,CAVIEDES-FERNANDEZ,Hombre,60
3,3533609,GABRIEL,VARGAS-EASTON,Hombre,60
3,5673009,Mario A.,Rojas,Hombre,60
3,5696403,Víctor,Cifuentes,Hombre,60
3,5786649,Ignacio,Uribe,Hombre,60
3,6855218,Francois,Menard,Hombre,60
3,1606,M,Wolff,Hombre,59
3,179805,J. E.,Blumel,Hombre,59
3,535029,Maria I.,Behrens,Mujer,59
3,1138156,MARIE GERALDINE,HERRMANN-LUNECKE,Mujer,59
3,1413716,Patricio,Felmer,Hombre,59
3,2476321,CECILIA ROSA,ALGARIN-CRESPO,Mujer,59
3,2530990,Renato J.,Verdugo,Hombre,59
3,2874353,JUAN ARTURO,SQUELLA-SERRANO,Hombre,59
3,6820271,Veronica,Palma,Mujer,59
3,6842094,Francisco,Munoz,Hombre,59
3,159298,SOLEDAD VIVIANA,BOLLO-DRAGNIC,Mujer,58
3,463960,Javier,Brahm,Hombre,58
3,1154109,Walter,Max-Moerbeck,Hombre,58
3,1209788,VICTOR HUGO,ESCALONA-CONTRERAS,Hombre,58
3,1232166,Manuel,Maliqueo,Hombre,58
3,1366722,Carolina,Valenzuela,Mujer,58
3,1560614,NANCY VIOLA,HITSCHFELD-KAHLER,Mujer,58
3,2808815,FAUSTO-PATRICIO,MENA,Hombre,58
3,3525175,ALVARO SEBASTIAN,NUNEZ-VASQUEZ,Hombre,58
3,4044468,Marcos,Mora,Hombre,58
3,5365565,Enrique,Lanzarini,Hombre,58
3,575119,ALAN GERARDO,ZAMORANO-CARRASCO,Hombre,57
3,1764312,J.,Mc Phee,Hombre,57
3,1921713,PABLO SEBASTIAN,MOYA-FUENTES,Hombre,57
3,2165207,Nicola,Fiore,Mujer,57
3,2331748,CLAUDIA ANDREA,YANEZ-SOTO,Mujer,57
3,3435642,LUIS JOSE ALEJANDRO,MORALES-SALINAS,Hombre,57
3,3514672,Jorge,Ferreira,Hombre,57
3,4685857,Daniel,Moraga,Hombre,57
3,4949877,Jose Manuel,Matamala,Hombre,57
3,102091,Luis,Toro,Hombre,56
3,113806,R.,Otero,Hombre,56
3,1129415,MARIA ANDREA,CASTRO-GALVEZ,Mujer,56
3,1193307,LUIGI PATRICIO,DEVOTO-CANESSA,Hombre,56
3,1604592,Tamara Alejandra,Tadich Gallo,Mujer,56
3,1649968,R.,Weber,Hombre,56
3,2756381,JUAN CARLOS,AGUILLON-GUTIERREZ,Hombre,56
3,2778475,AURELIO DEL CARMEN,SAN MARTIN-BARRIENTOS,Hombre,56
3,5561390,Jaime E.,Araya,Hombre,56
3,16841,W,APT,Hombre,55
3,255650,Sebastian A.,Rios,Hombre,55
3,262473,Enrique A.,Castellon,Hombre,55
3,1093871,C. N. Carolina,Nazzal Nazal,Mujer,55
3,1169572,PAUL HINCKLEY,DELANO-REYES,Hombre,55
3,1967936,BERTA ALEJANDRA,ESPINOSA-ESCALONA,Mujer,55
3,2961842,MARIA LEONOR,BUSTAMANTE-PARRAGUEZ,Mujer,55
3,3006944,Fernando,Valiente-Echeverria,Hombre,55
3,3511608,A.,Avila,Mujer,55
3,3525618,SERVET,MARTINEZ-AGUILERA,Hombre,55
3,3575011,CARLOS MANUEL,DIAZ-VALENZUELA,Hombre,55
3,75908,Alejandro,Escobar,Hombre,54
3,988273,Axel,Osses,Hombre,54
3,1798034,RUBEN LUIS,BOROSCHEK-KRAUSKOPF,Hombre,54
3,2493616,REYNALDO,CHARRIER-GONZALEZ,Hombre,54
3,2839403,Victor,Diaz,Hombre,54
3,3156291,Ulises,Urzua,Hombre,54
3,3242706,PAULINA MARIA,MERINO-OSORIO,Mujer,54
3,3509167,CRISTIAN EDUARDO,CORTES CARRILLO,Hombre,54
3,3531876,Veronica,Cornejo Espinoza,Mujer,54
3,4009895,Luis Merino,Montero,Hombre,54
3,79510,Victor H.,Parraguez G,Hombre,53
3,1093859,BARBARA JEANNETTE,POBLETE-LABRA,Mujer,53
3,2594306,JUAN DIEGO,DAVILA-BONCZOS,Hombre,53
3,3541841,Luis,Michea,Hombre,53
3,5551869,Ana,Liempi,Mujer,53
3,5708756,Mauricio J.,Farfán,Hombre,53
3,5845423,Francisco,Cano,Hombre,53
3,6139047,Ledia,Troncoso,Mujer,53
3,6272130,Sergio A.,Sepulveda,Hombre,53
3,6444509,Lorena Rodriguez,Osiac,Mujer,53
3,6599507,Julio,Valenzuela,Hombre,53
3,67288,Jose I.,Vines,Hombre,52
3,162493,Andres,Troncoso,Hombre,52
3,170374,Eduardo,Menendez-Proupin,Hombre,52
3,187130,Fernando,Gonzalez,Hombre,52
3,279431,Monica,De Los Reyes,Mujer,52
3,834647,MAURICIO ALEJANDRO,LILLO-GALLARDO,Hombre,52
3,843862,Barbara D.,Leyton-Dinamarca,Mujer,52
