Id Institución,Institución
3,Universidad de chile
4,Pontificia universidad católica de chile
8,Universidad de la frontera
9,Universidad austral de chile
13,Universidad de valparaíso
16,Universidad de concepción
18,Universidad metropolitana de ciencias de la educación
39,Universidad de santiago de chile
41,Universidad de talca
43,Pontificia universidad católica de valparaíso
44,Universidad católica del norte
68,Universidad de los lagos
83,Universidad de magallanes
85,Universidad de antofagasta
109,Universidad católica de temuco
129,Universidad católica de la santísima concepción
170,Universidad del bío bío
179,"Universidad de los andes, chile"
196,Universidad de tarapacá
249,Universidad tecnológica metropolitana
250,Universidad mayor
269,Universidad de la serena
271,Universidad santo tomás
310,Universidad técnica federico santa maría
1187,Univ pedro valdivia
1192,Universidad del desarrollo
1228,Universidad de atacama
1246,Universidad adolfo ibáñez
1269,Universidad nacional andrés bello
1277,Universidad autónoma de chile
1278,Universidad diego portales
1313,Universidad de playa ancha
1314,Univ gabriela mistral
1332,Universidad católica del maule
1376,Universidad de o`higgins
1385,Universidad alberto hurtado
1396,Universidad bernardo o'higgins
1689,Universidad san sebastián
1709,Universidad finis terrae
1768,Universidad arturo prat
2049,Universidad internacional sek
2062,Universidad tecnológica de chile
2096,Universidad central de chile
2343,Universidad de aysen
2387,Universidad de viña del mar
3062,"Universidad de las américas, chile"
3203,Universidad academia de humanismo cristiano
3708,Universidad del mar
4539,Universidad la república
6490,Universidad adventista de chile
10827,Universidad iberoamericana de ciencias y tecnología
28746,Universidad de aconcagua
50361,Universidad católica silva henríquez
54755,Universidad bolivariana
